Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[sample id]	Characteristics[animal id]	Characteristics[organism]	Characteristics[genotype]	Characteristics[disease]	Characteristics[strain]	Characteristics[sex]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism]	Factor Value[organism part]
Sample 24	ERS1935417	SAMEA104310439	199_25	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	esophagus	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 24	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 24	sequencing assay	ERX2187476	199_25_ATCACG_L007_R1_001.fastq.gz	199_25_ATCACG_L007_R1_001.fastq.gz	ERR2130624	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/004/ERR2130624/ERR2130624.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	esophagus
Sample 37	ERS1935418	SAMEA104310440	199_38	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	esophagus	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 37	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 37	sequencing assay	ERX2187477	199_38_GAGTGG_L008_R1_001.fastq.gz	199_38_GAGTGG_L008_R1_001.fastq.gz	ERR2130625	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/005/ERR2130625/ERR2130625.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	esophagus
Sample 23	ERS1935419	SAMEA104310441	199_24	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	heart	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 23	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 23	sequencing assay	ERX2187478	199_24_ATTCCT_L006_R1_001.fastq.gz	199_24_ATTCCT_L006_R1_001.fastq.gz	ERR2130626	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/006/ERR2130626/ERR2130626.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	heart
Sample 36	ERS1935420	SAMEA104310442	199_37	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	heart	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 36	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 36	sequencing assay	ERX2187479	199_37_GGCTAC_L008_R1_001.fastq.gz	199_37_GGCTAC_L008_R1_001.fastq.gz	ERR2130627	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/007/ERR2130627/ERR2130627.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	heart
Sample 18	ERS1935421	SAMEA104310443	199_19	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	ileum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 18	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 18	sequencing assay	ERX2187480	199_19_GATCAG_L006_R1_001.fastq.gz	199_19_GATCAG_L006_R1_001.fastq.gz	ERR2130628	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/008/ERR2130628/ERR2130628.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	ileum
Sample 31	ERS1935422	SAMEA104310444	199_32	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	ileum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 31	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 31	sequencing assay	ERX2187481	199_32_ATTCCT_L007_R1_001.fastq.gz	199_32_ATTCCT_L007_R1_001.fastq.gz	ERR2130629	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/009/ERR2130629/ERR2130629.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	ileum
Sample 6	ERS1935423	SAMEA104310445	199_6	Mm101	Mus musculus	wild type genotype	normal	C57BL/6J	male	ileum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 6	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 6	sequencing assay	ERX2187482	199_6_GAGTGG_L004_R1_001.fastq.gz	199_6_GAGTGG_L004_R1_001.fastq.gz	ERR2130630	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/000/ERR2130630/ERR2130630.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	ileum
Sample 17	ERS1935424	SAMEA104310446	199_18	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	jejunum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 17	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 17	sequencing assay	ERX2187483	199_18_TTAGGC_L006_R1_001.fastq.gz	199_18_TTAGGC_L006_R1_001.fastq.gz	ERR2130631	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/001/ERR2130631/ERR2130631.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	jejunum
Sample 30	ERS1935425	SAMEA104310447	199_31	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	jejunum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 30	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 30	sequencing assay	ERX2187484	199_31_ACTGAT_L007_R1_001.fastq.gz	199_31_ACTGAT_L007_R1_001.fastq.gz	ERR2130632	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/002/ERR2130632/ERR2130632.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	jejunum
Sample 5	ERS1935426	SAMEA104310448	199_5	Mm101	Mus musculus	wild type genotype	normal	C57BL/6J	male	jejunum	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 5	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 5	sequencing assay	ERX2187485	199_5_GGCTAC_L004_R1_001.fastq.gz	199_5_GGCTAC_L004_R1_001.fastq.gz	ERR2130633	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/003/ERR2130633/ERR2130633.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	jejunum
Sample 20	ERS1935427	SAMEA104310449	199_21	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	kidney	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 20	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 20	sequencing assay	ERX2187486	199_21_GGCTAC_L006_R1_001.fastq.gz	199_21_GGCTAC_L006_R1_001.fastq.gz	ERR2130634	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/004/ERR2130634/ERR2130634.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	kidney
Sample 33	ERS1935428	SAMEA104310450	199_34	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	kidney	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 33	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 33	sequencing assay	ERX2187487	199_34_TTAGGC_L008_R1_001.fastq.gz	199_34_TTAGGC_L008_R1_001.fastq.gz	ERR2130635	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/005/ERR2130635/ERR2130635.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	kidney
Sample 8	ERS1935429	SAMEA104310451	199_8	Mm101	Mus musculus	wild type genotype	normal	C57BL/6J	male	kidney	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 8	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 8	sequencing assay	ERX2187488	199_8_ATTCCT_L004_R1_001.fastq.gz	199_8_ATTCCT_L004_R1_001.fastq.gz	ERR2130636	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/006/ERR2130636/ERR2130636.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	kidney
Sample 14	ERS1935430	SAMEA104310452	199_15	Mm102	Mus musculus	wild type genotype	normal	C57BL/6J	male	liver	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 14	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 14	sequencing assay	ERX2187489	199_15_ACTGAT_L005_R1_001.fastq.gz	199_15_ACTGAT_L005_R1_001.fastq.gz	ERR2130637	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/007/ERR2130637/ERR2130637.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	liver
Sample 2	ERS1935431	SAMEA104310453	199_2	Mm101	Mus musculus	wild type genotype	normal	C57BL/6J	male	liver	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 2	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 2	sequencing assay	ERX2187490	199_2_TTAGGC_L004_R1_001.fastq.gz	199_2_TTAGGC_L004_R1_001.fastq.gz	ERR2130638	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/008/ERR2130638/ERR2130638.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	liver
Sample 27	ERS1935432	SAMEA104310454	199_28	Mm103	Mus musculus	wild type genotype	normal	C57BL/6J	male	liver	7 to 8	week	EFO	UO_0000034	organism part	P-MTAB-67999	Boehringer Ingelheim Pharma GmbH & Co. KG Cardiometabolic Research	P-MTAB-68000	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	P-MTAB-68001	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 27	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-68002	Boehringer Ingelheim Pharma GmbH & Co. KG Target Discovery Research	Sample 27	sequencing assay	ERX2187491	199_28_TAGCTT_L007_R1_001.fastq.gz	199_28_TAGCTT_L007_R1_001.fastq.gz	ERR2130639	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR213/009/ERR2130639/ERR2130639.fastq.gz	P-MTAB-68799	mouse_design.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.1.zip	P-MTAB-68799	mouse_rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.3.zip	P-MTAB-68799	mouse_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.2.zip	P-MTAB-68799	mouse_tpm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6081/E-MTAB-6081.processed.4.zip	Mus musculus	liver
